ref_pmid	assess_pmid	relevance
26670244	18077713	2
26670244	18462681	2
26670244	19189967	2
26670244	19913618	2
26670244	20478417	2
26670244	20531477	2
26670244	20843802	2
26670244	21041684	2
26670244	21821878	2
26670244	21885679	2
26670244	22611190	2
26670244	22645347	2
26670244	22659573	2
26670244	22666655	2
26670244	24155371	2
26670244	24316831	2
26670244	24816102	2
26670244	26805872	2
26670244	28665339	2
26670244	29209037	2
26670244	18189419	1
26670244	18201719	1
26670244	19218213	1
26670244	19241380	1
26670244	19482036	1
26670244	19895817	1
26670244	20826161	1
26670244	21646642	1
26670244	22153511	1
26670244	23530214	1
26670244	24100566	1
26670244	24336205	1
26670244	24531468	1
26670244	25064136	1
26670244	25994880	1
26670244	26418008	1
26670244	26574546	1
26670244	27334597	1
26670244	29695426	1
26670244	18096638	0
26670244	18373550	0
26670244	18552768	0
26670244	19324050	0
26670244	19447113	0
26670244	25982270	0
26670244	29223729	0
28943338	18166240	2
28943338	18216088	2
28943338	18508893	2
28943338	20798312	2
28943338	20798318	2
28943338	22754652	2
28943338	25056898	2
28943338	27807242	2
28943338	21742267	1
28943338	22514336	1
28943338	23091035	1
28943338	24889614	1
28943338	25043589	1
28943338	26178997	1
28943338	26269173	1
28943338	26996963	1
28943338	27671640	1
28943338	19680644	0
28943338	21038867	0
28943338	24582831	0
28943338	26167882	0
28011771	18831774	2
28011771	19128505	2
28011771	22208280	2
28011771	23497251	2
28011771	25246432	2
28011771	26198229	2
28011771	26307973	2
28011771	27587688	2
28011771	27787826	2
28011771	28453683	2
28011771	19137600	1
28011771	20472322	1
28011771	21880310	1
28011771	22016406	1
28011771	22045506	1
28011771	22847931	1
28011771	23047561	1
28011771	25431331	1
28011771	26568622	1
28011771	27153618	1
28011771	27551104	1
28011771	27919220	1
28011771	28052925	1
28011771	28056090	1
28011771	28369334	1
28011771	28430949	1
28011771	28472263	1
28011771	28961795	1
28011771	29228185	1
28011771	29228193	1
28011771	19605323	0
28011771	19932002	0
28011771	19945822	0
28011771	21803542	0
28011771	24898915	0
28011771	26824467	0
28011771	28057679	0
28011771	28268448	0
28011771	28878646	0
28011771	28881969	0
28011771	28881981	0
28011771	28898956	0
28011771	28991751	0
28011771	29028931	0
28011771	29036616	0
28011771	29039790	0
28011771	29069282	0
28011771	29069344	0
28011771	29084508	0
28011771	29104967	0
28011771	29113103	0
28011771	29126101	0
28011771	29280997	0
28011771	29508448	0
28011771	29614430	0
28011771	29668310	0
29307830	24649486	2
29307830	25414708	2
29307830	29226081	2
29307830	29326750	2
29307830	29517986	2
29307830	29616437	2
29307830	29665371	2
29307830	21073695	1
29307830	22949808	1
29307830	24692645	1
29307830	29587418	1
29307830	22312303	0
29307830	22710136	0
29307830	23838125	0
29307830	23921698	0
29307830	23959598	0
29307830	24098807	0
29307830	24321876	0
29307830	24859011	0
29307830	25008995	0
29307830	25249776	0
29307830	25769053	0
29307830	26115767	0
29307830	26264372	0
29307830	26634465	0
29307830	26640697	0
29307830	26940488	0
29307830	27083416	0
29307830	27426506	0
29307830	27516172	0
29307830	27651997	0
29307830	27988471	0
29307830	28095462	0
29307830	28922793	0
29307830	29104869	0
29307830	29312399	0
28322227	22110861	2
28322227	24528470	2
28322227	25189574	2
28322227	26203889	2
28322227	27298347	2
28322227	27532480	2
28322227	28299688	2
28322227	29696084	2
28322227	25248104	1
28322227	26435280	1
28693630	18239049	2
28693630	18789618	2
28693630	19447485	2
28693630	19754581	2
28693630	19939331	2
28693630	20198711	2
28693630	21295838	2
28693630	21757473	2
28693630	21791164	2
28693630	21791168	2
28693630	21820165	2
28693630	21870182	2
28693630	22391295	2
28693630	22558373	2
28693630	22675245	2
28693630	23199746	2
28693630	23228698	2
28693630	23369728	2
28693630	24011188	2
28693630	24070583	2
28693630	24355610	2
28693630	24381853	2
28693630	24913026	2
28693630	25141841	2
28693630	25627022	2
28693630	25704641	2
28693630	25709633	2
28693630	25826727	2
28693630	25921213	2
